iteration,test_accuracy,cv_accuracy,train_accuracy,precision,recall,f1,training_size
1,0.9601769911504425,0.9899666804676563,0.992771841609051,[1.         0.9037037  0.98220641],[0.9        0.976      0.96167247],[0.94736842 0.93846154 0.97183099],3182
2,0.9579646017699115,0.9912568306010929,0.9934426229508196,[1.         0.89705882 0.98220641],[0.875      0.976      0.96167247],[0.93333333 0.9348659  0.97183099],3660
3,0.9535398230088495,0.9914666666666667,0.9935982928781009,[0.94594595 0.90298507 0.97864769],[0.875      0.968      0.95818815],[0.90909091 0.93436293 0.96830986],3749
4,0.9579646017699115,0.9915343915343915,0.9936390140471774,[0.97222222 0.90441176 0.98214286],[0.875      0.984      0.95818815],[0.92105263 0.94252874 0.97001764],3773
5,0.9601769911504425,0.99155672823219,0.993662529706892,[0.97222222 0.90510949 0.98566308],[0.875      0.992      0.95818815],[0.92105263 0.94656489 0.97173145],3787
6,0.9579646017699115,0.99155672823219,0.9936658749010293,[0.97222222 0.90441176 0.98214286],[0.875      0.984      0.95818815],[0.92105263 0.94252874 0.97001764],3789
7,0.9601769911504425,0.991578947368421,0.9934071729957806,[0.97222222 0.90510949 0.98566308],[0.875      0.992      0.95818815],[0.92105263 0.94656489 0.97173145],3792
8,0.9579646017699115,0.991578947368421,0.9936725547060374,[0.97142857 0.89855072 0.98566308],[0.85       0.992      0.95818815],[0.90666667 0.94296578 0.97173145],3793
9,0.9579646017699115,0.991578947368421,0.9934123847167325,[0.97142857 0.89855072 0.98566308],[0.85       0.992      0.95818815],[0.90666667 0.94296578 0.97173145],3795
10,0.9579646017699115,0.991578947368421,0.9936775553213909,[0.97142857 0.89855072 0.98566308],[0.85       0.992      0.95818815],[0.90666667 0.94296578 0.97173145],3796
11,0.9579646017699115,0.991578947368421,0.9936775553213909,[0.97142857 0.89855072 0.98566308],[0.85       0.992      0.95818815],[0.90666667 0.94296578 0.97173145],3796
